epoch,train_mse,val_mse,val_mae,lr,sec
1,0.007095,0.006750,0.046483,2.99e-04,14
2,0.005151,0.006393,0.043475,2.97e-04,14
3,0.004754,0.006510,0.042817,2.93e-04,14
4,0.004498,0.006240,0.042054,2.87e-04,14
5,0.004303,0.006209,0.041298,2.80e-04,14
6,0.004163,0.006083,0.040581,2.71e-04,14
7,0.004041,0.006119,0.040842,2.61e-04,14
8,0.003945,0.006072,0.040428,2.50e-04,14
9,0.003845,0.005977,0.040198,2.38e-04,14
10,0.003760,0.006048,0.039966,2.25e-04,14
11,0.003682,0.006315,0.041386,2.11e-04,14
12,0.003605,0.006121,0.040534,1.96e-04,14
13,0.003525,0.006252,0.041016,1.81e-04,14
14,0.003450,0.006452,0.041177,1.66e-04,14
15,0.003380,0.006362,0.040394,1.50e-04,14
