epoch,train_mse,val_mse,val_mae,lr,sec
1,0.009895,0.007254,0.048366,2.99e-04,24
2,0.005643,0.007197,0.046596,2.97e-04,24
3,0.005163,0.006502,0.044205,2.93e-04,24
4,0.004759,0.006205,0.042097,2.87e-04,24
5,0.004501,0.005871,0.041128,2.80e-04,24
6,0.004329,0.006264,0.040888,2.71e-04,25
7,0.004195,0.006215,0.041071,2.61e-04,24
8,0.004088,0.005873,0.039837,2.50e-04,24
9,0.004003,0.005953,0.039626,2.38e-04,24
10,0.003916,0.006129,0.040348,2.25e-04,24
11,0.003854,0.005848,0.039399,2.11e-04,24
12,0.003793,0.006255,0.040157,1.96e-04,24
13,0.003729,0.006160,0.040285,1.81e-04,24
14,0.003669,0.006033,0.039054,1.66e-04,26
15,0.003619,0.006023,0.039353,1.50e-04,25
16,0.003550,0.005896,0.038607,1.34e-04,25
17,0.003503,0.006054,0.039275,1.19e-04,26
